,CL,BRN,RB,HO,GAS,NG
2006-05-03 21:30:00,0.872504679961024,1.42974045414487,1.3517531160781668,0.8040046091167635,1.031245892617465,-1.0344137026817601
2006-05-04 21:30:00,0.5508006280053547,1.0875383012532116,0.956601516663598,0.4978031050320636,0.7518531391376362,-0.9486265517872792
2006-05-05 21:30:00,0.4235458698709015,0.9977344679508707,0.987592987986599,0.4038804874675776,0.6036530830960665,-0.9398621836148706
2006-05-08 21:30:00,0.31680488222588854,0.880806390484629,0.9669222032287046,0.3497021800655555,0.43179590983811894,-0.9512973404306703
2006-05-09 21:30:00,0.3455620442677655,0.908255795230217,1.1485951661904752,0.43569573300853826,0.5436199488610588,-0.9825176125944391
2006-05-10 21:30:00,0.49035133422904975,1.0330462918238215,1.4453878917864347,0.6643462365623736,0.6183995388991811,-0.8895873088640978
2006-05-11 21:30:00,0.6742141068249252,1.1819458062733337,1.6768067096878971,0.874170033854741,0.869332192867444,-0.910380140261702
2006-05-12 21:30:00,0.6417894354544214,1.1248653779418054,1.5974970405683906,0.8194060329223376,0.9104920554257241,-1.0112280018548288
2006-05-15 21:30:00,0.36186174308948327,0.8113919450686978,1.0819100540145834,0.46868752869540914,0.6284223398302176,-1.104018899113854
2006-05-16 21:30:00,0.24360716832845855,0.6718348563277573,0.795248934322637,0.3333794587923712,0.5220420911864732,-1.1031611999488486
2006-05-17 21:30:00,0.10513711403965828,0.5018754240439882,0.4977633434399329,0.1790565458799759,0.38707317781697725,-1.1315421454925891
2006-05-18 21:30:00,0.1043217416214832,0.47351080838381476,0.3770052908586668,0.18262040646437053,0.3194367321397757,-1.1756211369905913
2006-05-19 21:30:00,0.020190313274100834,0.36849237436503773,0.33153400977446396,0.09922167234652873,0.24030768418791482,-1.1998816742788811
2006-05-22 21:30:00,0.04083719473795282,0.37784582816786527,0.27776356372034416,0.09311111833994253,0.17806575283570905,-1.0933454502121651
2006-05-23 21:30:00,0.2173368943722509,0.5255369090527886,0.4054512290097724,0.2697052696265816,0.37859999553435786,-1.045881794271424
2006-05-24 21:30:00,0.1315432485612298,0.4352876122780893,0.2658921354552498,0.19714211390669548,0.4008866590782242,-1.0952044157044099
2006-05-25 21:30:00,0.22175084924616623,0.522243414298547,0.36404710916468913,0.3057899121705304,0.3858654995917149,-1.1130006163025523
2006-05-26 21:30:00,0.27544968460143104,0.5615914101521103,0.5532283106127655,0.3267390226651848,0.48743794691965503,-1.1015766617959457
2006-05-30 21:30:00,0.36425191667052753,0.6239472632712701,0.70288100843459,0.4008823857735023,0.5931154855968813,-1.098539439665005
2006-05-31 21:30:00,0.3407767225398726,0.5997894738629901,0.673853289699093,0.35535226226163075,0.4654343079872231,-0.9972058918138466
2006-06-01 21:30:00,0.2385160965150522,0.5017612376551315,0.6992723300528203,0.2632567900849151,0.48131134893701566,-0.9251516985880285
2006-06-02 21:30:00,0.36437355525689796,0.5899941140737208,0.8744678781779603,0.3348622970181751,0.4913287396700948,-0.8248024218937224
2006-06-05 21:30:00,0.45793745697264276,0.6805073186887476,1.148443057957595,0.449863586660178,0.5570451100841607,-0.8223824294661997
2006-06-06 21:30:00,0.49661811493214286,0.6943618212178444,1.1869710902641135,0.5086830822810089,0.5273526848125244,-0.8438898697442031
2006-06-07 21:30:00,0.34843328519411854,0.5537951427750765,1.0272670554246293,0.3964220990622474,0.4793212771501822,-0.9673968966383455
2006-06-08 21:30:00,0.23099780396591968,0.4599257001428832,0.9859122853703617,0.3132277825230364,0.3424661347546006,-0.955018733881951
2006-06-09 21:30:00,0.28817297592154734,0.5293808083663488,1.007980366486049,0.43256444728514715,0.4668486476672989,-0.9543958181768171
2006-06-12 21:30:00,0.19533727964965733,0.43731749378448787,0.9279964222084048,0.334458513840863,0.5256998600687676,-0.9314488225798752
2006-06-13 21:30:00,-0.022137553921895314,0.20878923519532838,0.7051557471974823,0.11674003052514766,0.305550433793926,-0.9359378340409151
2006-06-14 21:30:00,-0.0774287689063751,0.11580473979183858,0.6193935644951322,0.02073039032936763,0.2031940456334953,-0.7686253473834246
2006-06-15 21:30:00,-0.07090568917876623,0.06600546434549286,0.6070708849901404,-0.02477558458741056,0.20049034835412433,-0.4669827587887031
2006-06-16 21:30:00,-0.0296434436438374,0.07518785648096178,0.6045550705498197,-0.059167102727350776,0.1121446292544805,-0.3427503659539833
2006-06-19 21:30:00,-0.09300347530790128,0.017633644134388414,0.5222591843616339,-0.1804248306768961,0.05083767812873528,-0.37252481653508707
2006-06-20 21:30:00,-0.1444082913205691,-0.011796926849344792,0.4856071568697515,-0.2034812124811074,0.07951501943922704,-0.5082391176156718
2006-06-21 21:30:00,-0.07120932392955201,0.07960091026064098,0.5769263810983091,-0.12525089403818587,0.08955740535782149,-0.5531801818484243
2006-06-22 21:30:00,0.018626329333264448,0.2035360372701601,0.7092027780345043,0.01861923867847659,0.2167852492981539,-0.623597261447066
2006-06-23 21:30:00,0.07009018319549777,0.2684023596949422,0.8180863987420247,0.06806479928556215,0.3082170238783794,-0.7252766480534163
2006-06-26 21:30:00,0.19085732605184816,0.38006855039627085,0.9629175980150528,0.1435490280832667,0.3255025781000335,-0.8544330876051311
2006-06-27 21:30:00,0.2669672077298622,0.46419179183988557,1.0140446545016144,0.1231729388561614,0.4560905407517474,-0.8696756593988006
2006-06-28 21:30:00,0.3344053537146229,0.550321511250129,1.0205610037917061,0.049460472436941336,0.48802203178122355,-0.9229988918682477
2006-06-29 21:30:00,0.5001624089270246,0.7293879961474833,1.1089865443702225,0.16211163857657293,0.5921888445668235,-0.9537267760577122
